yo,sw
"Nínú àwọn Ẹpistili, àwọn ẹgbẹ́ elétò kan wà tó ńda ìhìnrere pọ̀ mọ́ iṣẹ́ àti ìrúbọ kan tí a nílò.","Katika barua kulikua na dini ambazo zilichanganyisha matimizo Fulani, matendo na tamaduni."
Ìbáwí nípa nínà kò gbọ́dọ̀ jẹ́ èyí tí yóo fa ewu tàbí ìnira pípẹ́ sára.,Adhabu ya fimbo kamwe isitumike kuleta madhara ya mwili yanayodumu au uchungu.
"Yàtọ̀ sí Jésù Kristi, kò sí ẹnikẹ́ni tí ó ti gbé gbogbo ìgbé-ayé rẹ̀ láì ṣẹ̀ (Oniwaasu 7:20).",Mbali na Kristo Yesu hakuna mtu mwingine amewai ishi bila kutenda dhambi (Mhubiri 7:20).
ìfohùnsọ̀kan àgbáyé lórí àkójọpọ̀ ìwé Mímọ́ Hébérù fẹ́rẹ̀ wáyé.,Kulikuwa na mijadala ambayo hatuwezi kuikataa kuhusu kanoni (vitabu vya) Agano La Kale kufika mwaka wa 250 A.D (Baada ya Yesu kuzaliwa) kulikuwa na kubaliano la jumla juu ya kanoni ya Bibilia ya Kiyahudi.
"Ìpànìyàn, àgbèrè, irọ́, olè jíjà, abbl.—kò sí iyèméjì, Bíbélì ṣe àfihàn àwọn nǹkan wọ̀nyìí gẹ́gẹ́ bí ẹ̀ṣẹ̀.","Hakutakuwa na shaka yoyote kuwa kurasa hizi zawazilisha kazi zote kuwa za dhambi, vitu ambavyo Mungu haviithinishi ni; Uwaji, uzinzi, uongo, wizi na kadhalika- hakuna shaka yoyote kuwa Bibilia yawazilisha mambo hayo kama dhambi."
Kíkọ́ni ní — Ìwé Mímọ́ àti àwọn àfojúsùn Bíbélì nípa ayé (Orin Dafidi 78:5-6; Deutarọnọmi 4:10; Efesu 6:4),Kuwafunza- maandiko na mitazamo ya Kibibilia (Zaburi 78:5-6; Kumbukumbu La Torati 4:10; Waefeso 6:4)
Bíbélì ṣe àkọsílẹ̀ bi Ọlọ́run ṣe ńbá àwọn ènìyàn sọ̀rọ̀ kedere l'ọ́nà t'ópọ̀ (Ẹksodu 3:14; Joṣua 1:1; Awọn Onidajọ 6:18; 1 Samuẹli 2:1; Jobu 40:1; Isaiah 7:3; Jeremiah 1:7; Iṣe àwọn Apọstelì 8:26; 9:15 — èyí jẹ́ àpẹẹrẹ kékeré).,Bibilia imenakili Mungu akizungumza kwa sauti kwa watu mara nyingi sana (Kutoka 3:14; Yoshua1:1; Waamuzi 6:18; 1Samweli 2:1; Ayubu 40:1; Isaya 7:3; Yeremia 1:7; Matendo ya Mitume 8:26; 9:15 hizi ni baadhi ya zile tulikusanya Mungu akizungumza kwa sauti na watu).
"Láti pèsè ara rẹ sílẹ̀ fún ìgbéyàwó, láti rìn ní ọ̀nà tí ó yẹ ti ìpè rẹ nínú Kristi Jésù, àti láti lè wà ní tímọ́tímọ́ pẹ̀lù Ọlọ́run nípasẹ̀ Ọ̀rọ̀ Rẹ̀ (2 Timoteu 3: 16-17), fi ojú sùn lórí ìgbọ́ràn nínú ohun gbogbo.","Ili tujitayarishe kwa ndoa, tutembea kadiri na mwito wetu katika Kristo Yesu, na tuwe na ushirika wa karibu na Mungu kupitia kwa neno lake (2 Timotheo 3:16-17), tazamia utiifu katika mambo yote."
"O ni lati na opa re si o, ki o si fun o ni iye ainipekun, eyi ko so wipe inu re dun si o. Sugbon won ko fi han, Bibeli so ninu 1 Korinti 3: 15 fihan nipa ohun ti o sele si Kristiani ti o ba pa ara re: “ Eni na yio si ni igbala, sugbon yio dabi eni ti o salo kuro ninu ewu alo ina.”","Mfano mzuri wa mwenye kujiua katika biblia, wakorintho wa kwanza 3:15, unaonyesha linalofanyika mkristo anapojiua: “yeye mwenyewe ataokolewa, lakini sawa na mtu mwenye kutoroka kupitia ndani ya ndimi za moto.”"
Ète tí ó kẹ́yìn ní ìbámu pẹ̀lú Iṣe àwọn Apọsteli 2:42 ní àdúrà.,Lengo la mwisho la kanisa kulingana na Matendo Ya Mitume 2:42 ni maombi.
"Bẹ́ẹ̀ni, àwọn Kristiẹni gbọ́dọ̀ jẹ́wọ́ Kristi gẹ́gẹ́ bíi Olùgbàlà ní gbangba.","Naam, Wakristo lazima wamkiri hadharani Kristo ni mwokozi."
"Bí bàbá ṣe jẹ́ olótítọ́ sí ní àwòkọ́ṣe, ohun tí àwọn ọmọ bá kọ́ nípa Ọlọ́run, yóò fi wọn sí ipò tí ó dára títí gbogbo ọjọ́ ayé wọn, ohunkóhun tíwọn ì báà ṣe tàbí ibikíbi/ibi yòówù tí wọn ìbáà lọ.","Kwa vile baba ni mwaminifu kwa kuwa kielelezo, chenye watoto watasoma kuhusu Mungu kitawaweka katika kanuni nzuri na kuishi katika maisha yao yote duniani, haijalishi ni nini watafanya au ni wapi wataenda."
"Àwọn tí ó ńṣe ẹlẹ́yàmẹ̀yà lè má yẹ fún ìdáríjì wa, ṣùgbọ́n àwa náà kò yẹ fún ìdáríjì Ọlọ́run.","Waefeso 4:32 yasema, “Tena iweni wafadhili ninyi kwa ninyi, wenye huruma, mkasameheane kama na Mungu katika Kristo alivyowasemehe ninyi.” Wabaguzi wa rangi huenda hawastahili msamaha wako, lakini tulistahili msamaha wa Mungu sana."
"A lè béèrè lọ́wọ́ Ọlọ́run kí ó fi irú ẹ̀bùn tí a ní hàn wá, kí àwa ba lè lo ẹ̀bùn ẹ̀mí wa dáradára fún ògo Rẹ̀.",Tunaweza kumuuliza Mungu atuonyeshe jinzi tumepewa kipawa kwa ajili ya utukufu wake.
Jésù lè fàyè gba ìjìyà ikú nínú àwọn ìṣẹ̀lẹ̀ kan. Jésù tún fi ore-ọ̀fẹ́ hàn nígbà tí ó yẹ kí ìjìyà ikú wà (Johannu 8:1-11).,Yesu pia alionyesha neema wakati adhabu ya kifo ilistahili (Yohana 8: 1-11).
"Bi enia ba ku yio ye bi (Jobu 14;2,14).","Atakuwa hai tena” (Ayubu 14:1-2,14)?"
"Ní òdodo, Bíbélì fún wa ní ìdí gbòógí púpọ̀ tí kò fi lè sí.","Kwa kweli, Bibilia inatupa sababu kuu nyingi ni kwa nini hakutakuwa na uai."
"Ó jẹ́ iyèméjì ńlá, bí ó ti lẹ̀ jẹ́ wípé èyí ńṣẹlẹ̀ l'óòrèkóórè bí àwọn ènìyàn kan ṣe ní ó ńṣẹlẹ̀.","Ingawa ni jambo kubwa la kushuku, kwamba hili hutokea kila mara vile watu wengine hudai."
"Aṣòdìsí Kristi náà yóò dá ""ẹ̀gbin ìsọdaworo"", yóò sì gbé àwòrán ara rẹ̀ ka Témpílì Jèrúsálẹ́mù, èyítí a ti tún kọ́, láti máa bọ (Daniẹli 9:27, 2 Tẹssalonika 2;3-10).","Mpinga Kristo atafanya “maovu yasiyo kubaliwa” na kuweka mfano wake uabudiwe katika hekalu la Yerusalemu (Danieli 9:27; 2 Wathesalonike 2:3-10), ambayo ilikua imekwisha jengwa."
"Bí a ti ṣe ńka Bíbélì tí a ńkẹ́kọ̀ọ́, ó hàn kedere wípé Ọlọ́run jẹ́ ọ̀kan náà nínú àwọn Májẹ̀mú Láíláí àti Titun.","Tunaposoma na kuichunguza Bibilia,  inadhihirika kwamba Mungu ni yule yule katika Agano la Kale na Agano Jipya."
"Jesu wipe, “Emi wa kin won le ni iye, ani kin nwon le ni lopolopo (Johannu 10;10).","Yesu alisema: “mimi nalikuja ili wawe na uzima, kisha wawe nao tele” (Yohana 10:10, TMP)."
"Pọ́ọ̀lù tẹ̀síwájú láti sọ wípé, ""Ǹjẹ́ nísinsìnyí, àbùkù ni fún nyín pátápátá pé ẹ̀nyin nbá ara yín ṣe ẹjọ́.",Ni sheria wewe kumwadhibu kwa kiboko Mrumi ambaye hajaribiwa kisimbani?’” Paulo aliitumia sheria ya Rumi na urahia wake kujikinga.
"“emi ti o ba se, iku ni ere re” (Esekieli 18;4).","“Roho ile itendayo dhambi itakufa” (Ezekieli 18:4, TMP)."
"Nitori pataki oro naa ati bi oro Olorun se je, orisirisi ohun ibaje ni won ti se si Bibeli ju iwe miran ni ile aye yi.","Kwa sababu ya umuhimu wake na kwamba ni neno la Mungu, biblia imepitia mapambano hatari mengi katika majaribio ya kuliharibu biblia kuliko kitabu chochote chengine katika historia  Kutoka watawala wa jadi wa kirumi kama Diocletian, kupitia madikteta wa kikomiunisti na wale wasioamini kuna Mungu wanaoisho siku hizi, biblia imedhibiti hali yake na kudumu zaidi ya wapinzani wake."
English,English
"Nítorí wípé ó jẹ́ ọ̀nà tí à ǹgbà ""ń so pọ̀ wọnú"" agbára ti Ọlọ́run, o jẹ́ ọ̀nà fún wa láti borí Sátánì àti àwọn ọmọ ogun rẹ̀ wípé a kò lágbára láti borí nípa tìkalára wa.","Kwa sababu ni njia yetu ya “kujitupa ndani” ya nguvu za Mungu, ni njia yetu ya kumshinda shetani na jeshi lake ambalo hatuna nguvu za kulishinda sisi wenyewe."
Ki o sit un wo gbogbo igba ti Jesu fi ba Baba re soro.,Katika kila mahali ndani ya agano jipya Yesu alipozungumza na Mungu Baba alikuwa akizungumza na nafsi moja wapo ya Utatu – Baba.
"Jésù sọ wípé òun ni ọ̀nà kan ṣoṣo, òtítọ́ kan ṣoṣo, ìyè kan ṣoṣo àti ipasẹ̀ kan ṣoṣo sí Ọlọ́run (Johannu 14:6).","Yes alisema kuwa yeye ndiye njia, na ukweli na uzima na njia peke kuelekea kwa Mungu (Yohana 14:6)."
Àwọn tí ó gbàgbọ́ nínú ẹ̀kọ́ nípa bíi Ọlọ́run ṣe ńfi ara Rẹ̀ hàn ní sáà kọ̀ọ̀kan rọ̀mọ́ ìtumọ̀ Bíbélì ní ọ̀nà aminiọ́tìkì tí ó dára jù.,Mfumo wa dini ni mpangilio wa kiteolojia ambao uko na misingi miwili tofauti.
"Àwọn kan lè gbagbọ́ wípé ìjọba Sọlómọ́nì ní gẹ́lẹ́ ni ìmúṣẹ àsọtẹ́lẹ̀ yìí, ṣùgbọ́n àṣìṣe wà pẹ̀lú ìyẹn.",Sommige mense glo dat die heerskappy van Salomo hierdie belofte letterlik vervul het maar daar is ‘n probleem met hierdie siening.
"Ko si ni ki awon enia ki won ma se sin ohun, gege bi angeli ninu Ifihan.","Yesu hakunakiliwa mahali popote katika biblia akisema, “Mimi ni Mungu.” Lakini hiyo haimaanishi ya kwamba hakusema kuwa yeye ni Mungu."
Àti wípé Ọlọ́run ńràn wá lọ́wọ́ láti mọ ọ̀tún yàtọ̀ sí òsì nípa ẹ̀ri ọkàn wa (1 Tímoteu 1:5; 1 Peteru 3:16).,Mungu hutusaidia kubainisha kati ya zuri na baya kupitia kwa hisia zetu (1 Timotheo 1:5; 1 Petero 3:16).
Pada si oju ewe Yorùbá,English
Òun fẹ́ wa nítorí Òun yàn láti ṣe bẹ́ẹ̀ gẹ́gẹ́ bíi ìṣe Rẹ̀.,Anatupenda kwa sababu alichagua kwa kutekeleza kifungu cha nia yake.
"Òun fúnrarẹ̀ ni ó ru ẹ̀ṣẹ̀ wa lórí igi, kí á baà lè kú sí ẹ̀ṣẹ̀, kí á wà láàyè sí òdodo.","“Yeye mwenyewe alizichukua dhambi zetu katika mwili wake juu ya mti, tukiwa wafu kwa mambo ya dhambi, tuwe hai kwa mambo ya haki; na kwa kupigwa kwake mliponywa” (1 Petero 2:24)."
Iginatu ti Antioku mọ bíi ìwé méje (ní ọdún 115 lẹ́yìn ikú Kristi).,Ignatius wa Antiokia alivitambua vitabu saba (A.D. 115).
"Sí gbogbo àwọn tí ó gbà á—àwọn tí ó gbàgbọ́ nínú orúkọ Rẹ̀—Ó ti fi ẹ̀tọ̀ fún láti di ọmọ Ọlọ́run (John 1:12, NET).","“Bali wote waliompokea aliwapa uwezo wa kufanyika watoto wa Mungu, ndio wale waliaminio jina lake” (Yohana 1:12)."
"Bẹ́ẹ̀ni, a ṣe àgbékalẹ̀ àwọn òfin sáyẹ́nsì gangan lórí wíwà òtítọ́ pátápátá.",hakika sheria ile ile ya sayansi simewekwa misingi yao katika uepo wa ukweli halisi.
"Nitori naa, awon ohun ti won ri tabi iwe ako sile fun Bibeli je iwe iko sile lati ibere aye.",Hata sasa ndicho kitabu kinachochapishwa kwa wingi duniani.
"Ṣùgbọ́n kí ènìyàn kí ó wádì i ara rẹ̀ dájú, bẹ́ẹ̀ni kí ó sì jẹ nínú àkàrà náà, kí ó sì mu nínú ago náà.","Lakini mtu ajihoji mwenyewe, na hivyo aule mkate, na kukinywea kikombe."
"Ìwé Efesu 5:18 pàṣe wípé kí a kún fún Ẹ̀mí; ṣùgbọ́n, kìí ṣe gbìgbàdúrà fún kíkún fún Ẹ̀mí Mímọ́ ni ó ńmú kíkún náà ṣẹ.",Waefeso 5:18 yatwaamuru kwamba tujazwe na Roho Mtakatifu; bali si kwa kuomba ili tujazwe na Roho Mtakatifu ambayo itawezesha kukamilisha kujazwa kwa Roho.
Àwọn míìrán yóò jiyàn wípé àwọn òtítọ́ pátápátá àti òdodo kan wà.,Wengine watapinga kuwa lazima kuwa na ukweli au uhalisi.
Iwo gba eyi gbo (Johannu 11:25-26).,"Mimi ndimi mchungaji mwema; Ninajua kondoo wangu na kondoo wangu wananijua” (Yohana 10: 11,14)."
Òun ti jẹ́ kí ọ̀nà èyí ṣeéṣe nípa sísan owó fún àwọn ẹ̀ṣẹ̀ wa.,Ameifanya njia rahisi kwa kulipa gharama ya dhambi zetu.
"Rántí wípé, èròǹgbà àyọkà ló máa sọ ẹni tí a kọọ́ sí, tí yóo sì tọ́ka sí ìtumọ̀ tí ó yẹ jùlọ.",Onthou dat die konteks van die gedeelte sal bepaal vir wie dit geskryf was en sal aandui op die korrekte vertolking.
Idahun,Jibu
Oníkálùkù ènìyàn yóò le túmọ̀ Bíbélì bí ó ṣe ri wípé ó yẹ.,Kila mtu ataweza kufasiri bibilia jinsi ameona yafaa.
"Àyààfi bí Olúwa bá padà, gbogbo ènìyàn tó wà láyé lónìí ni yóo kú, àti ọ̀pọ̀lọpọ̀ wọn (pẹ̀lú àwọn Kristiẹni) ni yóo kú gẹ́gẹ́ bí àyọrísí ìṣoro ara (àrùn, àìsàn, ọgbẹ́).","Labda tu Bwana arudi, mtu yeyote aliye hai hii leo atakufa, na wengi wao (Wakristo wakiwemo) watakufa kwa sababu ya shida za kimwili (magonjwa, majeraha)."
"Ipò rẹ̀ kò tẹ l'ọ́rùn, ó wùú láti gaju Ọlọ́run lọ, èyi sì ni ìṣubú rẹ̀, ìbẹ̀rẹ̀ ẹ̀ṣẹ̀ (Isaiah 14:12-15).","Sio kulingana na mkudhata wa cheo chake, alitamani sana kuwa kuwa na mamlaka kuliko Mungu, na hapo ndipo alianguka, ukawa ndio mwanzo wa dhambi (Isaya 14:12-15)."
"O gbọ́dọ̀ wà ní ìgbaradì nígbàgbogbo láti sọ nípa ìgbàgbọ́ rẹ (1 Peteru 3:15), ṣíṣe bẹ́ẹ̀ pẹ̀lú ìwà pẹ̀lẹ́ àti ọ̀wọ̀.",Wees altyd gereed om jou geloof te deel (1 Petrus 3:15) en doen so met sagmoedigheid en respek.
"Níwọ̀n tí a bá ti jẹ́wọ́ àwọn ẹ̀ṣẹ̀ ara-ẹni fún Ọlọ́run tí a síì bèèrè ìdáríjìn fún wọn, a ti mú wa bọ̀ sípò sí ìdàpọ̀ àti ìbásepọ̀ tí ó dán mọ́rán pẹ̀lú Rẹ̀.","Tunapokiri dhambi zetu za kibinafsi kwa Mungu na kumuuliza msamaha, tumerejeshwa kwa ushirika kamilifu na umoja naye."
"A ki se, ti awa ba wa nikan, o ye ki a ma lo ohun ti o wa fun wa.",Tunasoma tu kiasi cha kupata mtazamo Fulani juu ya wokovu lakini hatuongezi juhudi zozote katika kutafakari kwetu mara kwa mara kiasi cha kutufanya tuwe na afya nzuri kiroho.
Idahun,Jibu
“Ohun ti ko je nipa igbagbo ese ni” (Romu 14:23).,Rudi kwa ukurasa wa nyumbani wa Kiswahili
Olúwa fifúnni Olúwa sì gbà lọ; ìbùkún li orúkọ Olúwa (Job 1:21).,"“Akasema, Mimi nilitoka tumboni mwa mama yangu nili uchi, nami nitarudi tena huko uchi vilevile; BWANA alitoa, na BWANA ametwaa; jina la BWANA na libarikiwe.” (Ayubu 1:21)."
Ọlọ́run dá májẹ̀mú tí kò lẹ́gbẹ́ pẹ̀lú Ábráhámù àti Dáfídì.,God het aan beide Abraham en Dawid ‘n onheroeplike verbond gemaak.
"Bí a bá túmọ̀ Bíbélì ní àkọsílẹ̀ ṣísẹ̀ntẹ̀lé, gbígbà wípé ìgbàsókè yóò ṣẹlẹ̀ ṣáájú ìpọ́njú ni ó jẹ́ ìtumọ̀ tí ó faramọ̀ Bíbélì jùlọ.",Ikiwa Bibilia anaweza elezewa juujuu basi matezo kabla ya unyakuzi itakua fafanuo ya kibibilia.
"Bí ẹnìkan bá pòǹgbẹ nítòótọ́ láti mọ Ọlọ́run, Ọlọ́run yóò fi ara Rẹ̀ hàn.","Kama mtu amenuia kumjua Mungu, Mungu atajudhihirisha kwake."
"To ba jebe, jowo te “Mo ti gba Kristi ni oni” ni abe.",English
"Won si ti fi ara won fun Kristi; won si n gbe igbese aye gidi lati le fihan omo eniyan, Oluwa wipe aye won dara.","Je, ukotayari kulipa gharama?"
Dídá ẹ̀bùn ẹ̀mí wa mọ̀ ṣeé ṣe ní ọ̀pọ̀lọpọ̀ ọ̀nà.,Kutambua sehemu zetu za kipawa laweza kamilishwa katika njia mbali mbali.
"Bí o bá ti ṣè gbèyáwò pẹ̀lú aláìgbàgbọ́ kan, báwo ní ẹ̀yin méjèèjì yóo ṣe kọ́ wíwà ní tímọ́tímọ́ ní tẹ̀mí nínú ìgbéyàwó yin?","Ikiwa ulikuwa umeolewa kwa mtu ambaye si Mkristo, wawili wenu mtautunzaje wokovu wenu katika ndoa yonu?"
"Oluwa gbe awo omo eniyan wo, o si di eleran ara, Jesu Kristi (Johannu 1; 1, 14).","Hatua ya pili ya Ombi la mwenye dhambi ni kufahamu vile ambavyo Mungu amefanya kwa ajili ya kutibu hali ya upotevu wetu dhambini.Mungu alichukua mwili nakufanyika kuwa mwanadamu katika utu wa Yesu Kristo (Yohana 1:1,14)."
"Ṣùgbọ́n, bí a ti le fẹ́ èrò wípé àwọn olùfẹ́ tí ó ti kú ńwò wá tó, kìí ṣe ohun tí Heberu 12:1 ńkọ́ wa.","Waebrania 12:1 yasema, “Basi na sisi pia, kwa kuwa tunazungukwa na wingu kubwa la mashahidi namna hii….” wengine wanaelewa “wingu kuu la mashahidi” kuwa watu ambao wanaangalia chini kutoka mbinguni."
"Pọ́ọlù tọ́ka sí ìjọ ní ilé wọn–kìí ṣe ilé tí a kọ́, ṣùgbọ́n ara àwọn onígbàgbọ́.","Warumi 6:5, yasema, “…salimia kanisa linalokutana kwa nyumba.” Paulo anaashiria kanisa lilo katika nyumba yao- si jengo la kanisa bali mwili wa washiriki."
Gbogbo ohun tí ó nííṣe làti di Kristiẹni nìyẹn!,Hayo yote ndio yanayohitajika kuwa Mkristo.
"Sugbon, itumo ile ni a le ri ti a ba ti n bere si ni tele Kristi gege bi omo leyin re, mo nipa re, nipa oro re, Bibeli, ma gba adura, rin pelu re gege bi ofin re.",Kwa kuwa nira yangu ni laini na mzigo wangu ni mwepesi” (Mathayo 11:28-30).
"Ní pàṣíìpààrọ̀, Ọlọ́run fi òdodo Jesu kún inú àwọn onígbàgbọ́ ó sì fi òdodo Rẹ̀ kún wa, gẹ́gẹ́ bí Òun ṣe ka ẹ̀ṣẹ̀ wa sí I l'ọ́rùn (2 Kọrinti 5:21).","Kwa ubadilisho, Mungu aliupachika utakatatifu wa Kristo kwa Wakristo na akasadikisha makosa yetu kwa utukufu wake, jinsi alivyokwisha  sakidikisha makosa yetu juu ya Kristo (2 Wakorintho 5:21)."
"Ní ọ̀rọ̀ míìrán, tí a bá fẹ́ gbé ìgbé-ayé l'ẹ́kùnrẹ́rẹ́, gẹ́gẹ́ bíi Ọlọ́run ṣe fẹ́, àwa gbọ́dọ̀ gbọ́ràn sí Ọ̀rọ̀ Ọlọ́run tí a kọ kí a sì kíyèsi.","Kwa njia nyingine, kama tunataka kuishi maisha tele, vile Mungu alikwisha panga, lazima tusikize na kutii chenye kimeandikwa katika neno lake."
"Mo ni ireti ninu Jesu, Jesu ni kan gege bi Olorun ni nikan ati olugbala mi.","kama ndiyo, tafadhali bonyeza kwa “Nime mkubali Kristo hivi leo” hapo chini."
"Síwájú si, àwọn Mùsùlùmí tí kìí ṣe Árábù èyítí ó láàpẹ́rẹ wà ní àwọn agbégbè bíi Indoneṣia àti Maleṣia ju àwọn Árábù tí wọn jẹ́ Mùsùlùmí lọ.","Zaidi, kuna Waarabu wengi sana wa muimu ambao si Waislamu katika mataifa kama Indonesia na Malaysia kuliko vile walipo Waislamu Waarabu."
"Ti ko ba se Olorun, oniro si ni ki de se oluso, oluko daradara, tabi omo Olorun.","Na ataitwa Mshauri wa ajabu, Mungu mwenye nguvu, Baba wa milele, mfalme wa amani.”"
"A kò gbọ́dọ̀ rí àdúrà gẹ́gẹ́ bí ọ̀nà ti wa láti mú Ọlọ́run ṣe ìfẹ́ ti wa lórí ayé, ṣùgbọ́n dípò ọ̀nà mímú ìfẹ́ ti Ọlọ́run di ṣíṣe lóri ayé.","Maombi yasionekane kama njia zetu za kumfanya Mungu kutenda mapenzi yetu duniani, bali iwe ni njia ya Mungu kutenda mapenzi yake duniani."
"A fi Ẹ̀mí Mímọ́ fún àwọn onígbàgbọ́ bíi owó tí a san sílẹ̀, tàbí ṣíṣe àyẹ̀wò ògo ọjọ́ iwájú wọn nínú Kristi (2 Kọrinti 1:22; Efesu 4:30).",Wakristo wamepewa Roho Mtakatifu kama mtaji  ama tibitisho la utukufu wao katika siku zijazo katika Kristo (2 Wakorintho 1:22; Waefeso 4:30).
"Nínú ìwé Ìṣe àwọn Apọsteli àti àwọn Ẹpistili, ọ̀pọ̀lọpọ̀ àwọn iṣẹ́ ìyanu ni a ṣe nípasẹ̀ àwọn apọsteli àti àwọn tí ó súnmọ́ wọn.","Katika kitabu cha Matendo ya Mitume na Barua, wingi wa miujiza unafanywa na Wanafunzi na wendani wa karibu nao."
Ó fẹ́ẹ̀ lè má sí ẹgbẹ́ ẹ̀sìn kankan tí ó jẹ́ olótìtọ́ ju àwọn Ajẹ́rìí Jèhófà lọ nípa mímú ìfiránṣẹ́ wọn jáde.,Vilevile hakuna kikundi cha kidini ambacho ni kiaminifu kushinda Mashahidi wa Yehova kwa kushiriki injili yao nche.
"Lati ayedaye, awon alaigbagbo wipe Bibeli ko je gidi, sugbon awon enia miran ti fi han.","Vizazi vyote na nyakati zote duniani,wapinzani wamekuwa wakipuuza biblia na kusema ni hadithi tu za watu lakini watafiti wa kihitoria wadumu wakithibitisha ya kuwa biblia ni kitabu cha kweli."
"Ayé titun ni ibití Jerúsálẹ́mù titun, ìlú ọ̀run, yóò tẹ̀dó sí.",Rudi kwa ukurasa wa nyumbani wa Kiswahili
Oro naa “wasu”ni ese 19 ki se oro ti a lo lati fi han ninu Majemu Titun gege bi iwasu oro Olorun.,"Bwana wetu aliikabidhi roho yake kwa Baba, akafa na wakati Fulani toka kufa mpaka kufufuka, akatembelea kuzimu alikowasilisha ujumbe kwa  viumbe vya kiroho 9 pengine ni malaika waasi tazama yuda 6) waliokuwa na uhusiano na nyakati za kabla gharika la wakati wa Nuhu."
"Bibeli ni ogorun ohun ti yio sele si orile ede pelu isreali, pelu ohun ojo iwaju awon ohun ti yio sele si orile ede miran, ola omo enia, ati ipadawa messiah, olugbala wa ati ti isreali, sugbon gbogbo awon bi o ba gbagbo ninu re.","Humu tunapata unabii juu ya mataifa binafsi kama vile Israeli, unabii wa miji Fulani, unabii wa maisha ya wanadamu na hata wa kuja kwake masihi, mwokozi si wa Israeli tu bali hata kwa wale pia watakaomwamini."
"Ibi jẹ́ àìsí rere, tàbí, ibi jẹ́ àìsí Ọlọ́run.","Kwa hivyo uovu ni kutokuwa na wema, ama uzuri, uovu ni kukosekana na uwepo wa Mungu."
Kò sí ohun tí kò tọ́ pẹ̀lú bíbèérè fún ohun kańnáà léraléra.,Hakuna makosa yoyote kurudia rudia kumuuliza Mungu jambo fulani.
Emi Mimo si ni Olorun: Ise Awon Aposteli 5:3-4; 1 Korinti 3: 16 ( Eyi ti o n gbe inu ni Emi Mimo-Romu 8:9; Johannu 14:16-17; Ise Awon Aposteli 2:1-4).,Roho mtakatifu ni Mungu: Matendo ya mitume 5:3-4; wakorintho wa kwanza 3:16 (anayedumu ndani ni Roho mtakatifu –warumi 8:9; Yohana 14:16 –17; Matendo ya mitume 2:1—4).
"Ní ayérayé, ọ̀pọ̀ ààyè ni yóò wà láti rí, mọ̀, àti lo àkókò pẹ̀lu ọ̀rẹ́ àti àwọn mọ̀lẹ́bí wa.","Mbinguni kuna muda mwingi wa, kuona, kujua, na kuwa na muda wa kukaa na marafiki wetu na watu wa familia."
"Nitorina ẹniti o ba tapá si aṣẹ, o tapá si ìlana Ọlọrun: awọn ẹniti o ba si ntapá, yio gbà ẹbi fun ara wọn.",Hivyo amwasiye mwenye mamlaka hushindana na agizo la Mungu; nao washindanao watajipatia hukumu.
"Òun ti ṣe ìlérí wípé nígbàtí àwa bá béèrè gẹ́gẹ́ bíi ìfẹ́ Rẹ̀, Òun yóò fún wa ni ohun ti àwa bá béèrè fún (1 Johannu 5:14-15).","Ameahidi kuwa tunapouliza vitu ambavyo viko katika mapenzi yake, atatupa chochote tuitizacho (1 Yohana 5: 14-15)."
