Idariji ko see fi eto gba tabi ti owo ra lati odo Olorun.,"Yesu alifufuka katika wafu, akishuhudia ushindi Wake juu ya dhambi na mauti (1 Wakorintho 15:1-28)."
"Ní ọ̀nà kan náà, ní gbogbo Májẹ̀mú Láíláí àwa rí ìdájọ́ Ọlọ́run àti ìbínú Rẹ̀ tú jáde sí ẹ̀ṣẹ̀.","Njia hiyo sawa, katika Agano la Kale lote twaiona hukumu ya Mungu na ghadhabu zikimwagika juu ya dhambi."
Ìdí nìyẹn tí a fi nílò láti di ẹni ìgbàlà?,Ndio sababu tunastahili kuokoka.
Sàtanì lè ṣe ohun kóhun àti ohun gbogbo ní ìkáwọ́ rẹ̀ láti kọjú ìjà sí Ọlọ́run àti àwọn tí ó ńtẹ̀le Ọlọ́run.,Shetani atafanya na kila kitu katika uwezo wake ili ampinge Mungu na wale wote wanaomfuata.
Johannu 3:16 àti 3:36 jùmọ̀ kéde wípé fífi ìgbàgbọ́ rẹ sínú Rẹ̀ yóò yọrí sí ìyè ayérayé!,Yohan Mtakatifu 3:16 na 3:36 zote zatangaza ya kwamba kuweka imani yako kwake yaleta uzima wa milele.
Ràn mí lọ́wọ́ láti gbé ìyóóku ayé mi nínú ọpẹ́ fún ìyanu ìgbàlà tí Ìwọ ti pèsè.,"Je, umefanya uamuzi kwa Kristo kwa kile ulicho soma hapa?"
"Romu 8;1 ko wa wipe, “Nje ebi ko si nisisiyi fun awon ti o wa ninu Kristi Jesu.”Nitori iku Jesu nipa wa, awa ko ni ebi fun ese.","kama ndiyo, tafadhali bonyeza kwa “Nime mkubali Kristo hivi leo” hapo chini."
Ọ̀run—ayé titun—jẹ́ ibi tí àwa yóò gbé pẹ̀lú ẹran ara tí a ṣe l'ógo (1 Kọrinti 15:35-58).,"Mbingu- na nchi mpya- ni mahali panapoonekana, ambapo tutaishi na miili ya utukufu (1 Wakorintho 15:35-58)."
"Ẹ̀yin ọkọ, ẹ fẹ́ràn àwọn aya yín, gẹ́gẹ́ bí Kristi ti fẹ́ràn ìjọ, tí ó sì fi ara rẹ̀ fún un (Efesu 5:25).","“Enyi waume, wapendeni wake zenu, kama Kristo naye alivyolipenda Kanisa, akajitoa kwa ajili yake” (Waefeso 5:25)."
Àyọkà tí ó ṣe àlàyé ìgbàsókè ní ẹ̀kúnrẹ́rẹ́ wà nínú 1 Tẹssaloníka 4:13-18.,Kifungo cha Bibilia kinachohusu unyakuzi ni 1 Wathesalonike 4:13-18.
"Ise Awon Aposteli 16;31 fi han, “gba Jesu Kristi Oluwa gbo, a o si gba o la”.","Matendo 16:31 inazungumzia kwa ufasaha zaidi, “Mwamini Bwana Yesu nawe utaokoka!” (TMP)."
"A ni lati ranti wipe ara wa, emi wa, ti di irapada, o si ti di ti Olorun.","Hamjui ya kuwa miili yenu ni hekalu la Roho Mtakatifu, akaaye ndani yenu, ambaye mnaye kutoka kwa Mungu na ninyi si mali yenu wenyewe."
"Nítorí náà, lẹ́ẹ̀kansi, Àdúrà ti Olúwa kìí ṣe àdúrà tí ó yẹ kí a kọ́sórí kí á wá tún kà fún Ọlọ́run.","Kwa hivyo tena, sala ya Bwana sio maombi tunayostahili kukalili na kumkalilia Mungu."
Ó sọ pé àkàrà ńsọ nípa ara Rẹ̀ èyítí yóò wó.,Alisema mkate unasimamia mwili wake ambao ungevunjwa.
"Pọ́ọ̀lù kò lọ sí sínágọ́gù láti jọ́sìn pẹ̀lú àti láti kọ àwọn ẹni mímọ́, ṣùgbọ́n láti dá ẹlẹ́ṣẹ̀ lẹ́bi kí ó sì gba àwọn tó sọnù là.","Paulo hakuenda kaitka Masinagogi kuwa na ushirika na kuwajenga waumini, bali alienda ili awathibitishie injili na kuwaokoa walikuwa wamepotea."
"Ọlọ́run gba Sátánì láàyè láti dán Ádámù àti Éfà wò, láti mú kí wọn ṣe ìpinnu dandan.",Mungu alimrushu shetani kuwajaribu Adamu na Hawa ili awalazimishe kufanya uchaguzi.
"Ní ọ̀nà tí ó yani lẹ́nu, Ọlọ́run ti fún àwọn tí ó gba Ọmọ Rẹ̀ gbọ́ gẹ́gẹ́ bíi Olùgbàlà wọn ní agbára láti ní ìfẹ́ bíi Òun, nípasẹ̀ agbára Èmí Mímọ́ (Johannu 1:12; 1 Johannu 3:1, 23-24).","(Yohana 1:12; 1Yohana 3:1, 23-24)."
Eso rere ti omo Olorun le ni ninu aye yi wa ninu Galatia 5:22-23.,Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Jesu wipe, “Emi ni imole aiye; eniti o ba to mi lehin ki yio rin ninu okunkun, sugbon yio ni imole iye” (Johannu 8:12).","Anifuataye hatatembea gizani, bali atakuwa na nuru ya uzima” (Yohana 8:12)."
"Ṣùgbọ́n, ó ní àwọn àṣọtẹ́lẹ̀ kan tí Jésù kò tí mú ṣẹ nípa Mesiah.",Ingawa kuna baadhi ya unabii kuhusu Masia ambao Yesu hajatimiza.
"Nigbati o si ranti ohun ibanuje ti o se, o si se ipinu lati pada si ile re (ori 18).","Alipotambua makosa yake, aliamua kurudi nyumbani (aya18)."
Bíbélì pèsè wa sílẹ̀ láti sin Ọlọ́run (2 Timoteu 3:17; Efesu 6:17; Heberu 4:12).,Bibilia yatujenga ili tumtumikie Mungu (2 Timotheo 3:17; Waefeso 6:17; Waebrania 4:14).
"Àwọn ẹsẹ̀ 19-21 ṣe àkójọ ""àwọn iṣẹ́ ti ara.""",Kuna ratiba mbili katika Wagalatia 5:19-23 yataja “matendo ya mwili.” Haya ni mambo ambayo yanatambulisha maisha yetu kabla tuje kwa Kristo kwa wokovu.
"Àwa gbọ́dọ̀ súnmọ́ Ọ̀rọ̀ Ọlọ́run tó bẹ́ẹ̀ gẹ́ ti ó fi jẹ́ wípé nígbàtí ẹnìkan bá ńsọ irọ́ fún wa, yóò hàn kedere sí wa wípé kìí ṣe ti Ọlọ́run.","Pia lazima tulijue neno la Mungu ili anaponena nasi na kutuongoza, iwe wazi ni Mungu anafanya hivyo."
Ẹ̀sìn jẹ́ ìgbìyànjú ènìyàn láti ní ìbáṣepọ̀ pẹ̀lú Ọlọ́run.,Dini ni jaribio la mwanadamu kuwa na uhusiano na Mungu.
Bibeli so fun wa wipe ko si ona miran fun igbala afi Kristi nikan.,Nasi tufananishe imani yetu sawa na Petro kwa kutambua kuwa uzima wa milelewapatikana kwa Kristo pekee.
Ó ṣe pàtàkì láti dá gbígbé inú Ẹ̀mí yàto sí kíkún fún Ẹ̀mí.,Ni kitu cha maana kutofautisha kati ya kukaa kwa Roho Mtakatifu na kujazwa na Roho Mtakatifu.
"Nínú àwọn ẹsẹ wọ̀nyìí, Pétérù fi ìdájọ́ ""ayé"" tí ó ńbọ̀ wé ìkún omi ìgbà ayé Nóà, ó sì sọ wípé ayé tí ó wà nígbà náà ti ṣègbé pẹ̀lú omi.","Lakini mbingu za sasa na nchi zimewekwa akiba kwa moto, kwa neno lilo hilo, zikilindwa hata siku ya hukumu, na ya kuangamia kwao wanadamu wasiomcha Mungu.” Katika aya hizi Petero analinganisha “kiulimwengu” hukumu inayokuja na gharika ya wakati wa Nuhu na anasema kwamba dunia ya wakati ule iligharikishwa kwa maji."
Ọ̀pọ̀lọpọ̀ ṣi Àdúrà Olúwa túmọ̀ láti jẹ́ àdúrà tí ó yẹ kí a máa tún kà ní ọ̀rọ̀ fún ọ̀rọ̀.,"Na usitutie majaribuni, lakini utuokoe na Yule mwovu.” Watu wengi wanaelewa vipaya sala ya bwana kuwa sala ambayo tunastahili kukalili neno kwa neno."
"Gẹ́gẹ́ bíi ènìyàn tí ó ní òpin, àwa kò lè ní òye Ọlọ́run tí kò ní òpin l'ẹ́kùnrẹ́rẹ́ (Romu 11:33-34).","Kama binadamu walio na mwisho, hatuwezi kuelewa vilivyo Mungu asiye na mwisho (Warumi 11:33-34)."
"A ko si lodi si wipe ki awon obirin ma gba adura ni gbangba tabi ki won ma riran (1 Korinti 11:15), sugbon ki won ma se ni ase lori okonrin.","Huduma nyingi za kanisa hutegemea wanawake wanawake kanisani hawakatazwi kuomba kwa sauti au kutoa unabii (wakorintho wa kwanza 11:5), lakini wamekatazwa kuwa na mamlaka ya kiroho juu ya wanaume."
"Àyẹ̀wò àwọn ẹsẹ̀ Májẹ̀mú Titun fi kókó ọ̀rọ̀ mẹ́rin hàn: 1) Ìgbákùùgbà tí Jésù bá yọ ní ara àjíǹde Rẹ̀ àti ní ọjọ́ tí Òun sọ, ó jẹ́ ọjọ́ àkọ́kọ́ nínú ọ̀sẹ̀ (Matteu 28:1, 9, 10; Marku 16:9; Luku 24:1, 13, 15; Johannu 20:19, 26).","Uchunganusi wa ukurasa wa Agano Jipya watuonyesha mambo mane muimu: 1) Popote Kristo alionekena baada ya kufufuka kwake na siku zimetajwa, kila wakati ni siku ya kwanza ya Juma (Mathayo 28:1,9, 10; Mariko 16:9; Luka 24:1,13,15; Yohana 20:19, 26)."
"Kí ara ìjọ tó le ṣiṣẹ́ dáradára; gbogbo ""ẹ̀yà ara"" rẹ̀ nílò láti wà kí ó sì ma ṣiṣẹ́ (1 Kọrinti 12:14-20).","Ili mwili wa kanisa ufanye kazi vizuri, “sehemu” zake zote zinastahili kuwepo (1 Wakorintho 12:14-20)."
"Nígbàtí Ọlọ́run bá ńbá wa sọ̀rọ̀, Òun yóò ríi dájú wípé ìfiráńṣẹ́ Rẹ̀ yéni kedere.","Hii si kusema kwamba Mungu hatendi miujiza au kunena kupitia kwa ndoto hii leo, lakini cho chote Mungu anasema hata kama ni ndoto, maono, picha, au “sauti ya chini,” tunakubaliana kabisa na chenye kimekwisha funuliwa katika neno lake."
Jẹnẹsisi 15:6 sọ fún wa wípé Abrahamu gba Ọlọ́run gbọ́ àti wípé ìyẹn tó fún Ọlọ́run láti kàá fún-un bíi òdodo (tún wo Romu 4:3-8).,"Mwanzo 15:6 yatuambua kwamba Abrahamu alimwamini Mungu, hiyo ilitosha Mungu akamhesabia jambo hili kuwa haki (pia angalia Warumi 4:3-8)."
Ọlọ́run kò fẹ́ kí Ádámù àti Éfà dẹ́ṣẹ̀.,Mungu hakutaka Adamu na Hawa watende dhambi.
Bíbélì sọ nípa àwọn onígbàgbọ́ tí ńgba adé fún ohun ọ̀tọ̀ọ̀tọ̀ lórí bí wọ́n ṣe sin Kristi l'óòtítọ́ síí (1 Kọrinti 9:4-27; 2 Timoteu 2:5).,Bibilia inazungumzia Wakristo kupokea taji kwa mambo tofauti kulingana na vile walimtumikia Kristo kwa uaminifu (1 Wakorintho 9:4-27; 2 Timotheo 2:5).
Díẹ̀ lára àwọn ẹsẹ wọ̀nyìí ni Lefitiku 7:11; Oniwaasu 1:6-7; Jobu 36:27-29; Orin Dafidi 102:25-27 àti Kolosse 1:16-17.,Baadhi ya kurasa kama Mambo Ya Walawi 17:11; Mhubiri 1:6-7; Ayubu 36:27-29; Zaburi 102:25-27 na Wakolosai 1:16-17.
"Eni ti o ko si Heberu nipa Jesu wipe, Ite re, Olorun, lai ati lailai ni” (Heberu 1:8).","Mwandishi wa kitabu cha waebrania asema juu ya Yesu kuwa, “ Kiti chako cha enzi wewe Mungu, kitadumu milele na milele” (Waebrania 1:8)."
Inú Ọlọ́run kò dùn sí ìṣe yìí.,Tendo hili ni chukizo kwa Mungu.
Òun máa ńṣe èyí fún àwọn tí wọn ńtẹ́sìwájú láti kọ̀ọ́ (Romu 1:24–32).,Anafanya haya kwa wale wanaoendelea kumkataa (Warumi 1:24-32).
"Bi awa ba si mọ̀ pe o ngbọ ti wa, ohunkohun ti awa ba bere, awa mọ̀ pe awa ri ibere ti awa ti bere lọdọ rẹ̀ gbà” (1 Johannu 5:14-15).","Na kama tukijua kwamba atusikia, tuombacho chote, twajua kwamba tunazo zile haja tulizomwomba” (1 Yohana 5:14-15)."
Èyí kìí tún ṣe ìbéèrè wípé báwo ni Ẹ̀mí Mímọ́ ṣe le fún ẹnìkan ní ẹ̀bùn ìyanu.,Pia hili si swali la kama Roho Mtakatifu anampa mtu miujiza ya Roho ya vipawa.
Ọlọ́run kò ní orísun a kò sì dáa—Óun ṣà wà láàyè.,"Mungu hawezi kuumbwa au kutengezwa, huwa anaishi."
"Èyí tí a kò fi ìran rẹ̀ hàn ní Májẹ̀mú Láíláí, gbèdéke ìfarahàn ìfẹ́ Ọlọ́run, fífi Ọmọ Rẹ̀ Jésù Kristi ráńṣẹ́, ní a fihàn ní gbogbo ògo Rẹ̀ ní Májẹ̀mú Titun.","Katika Agano la Kale amefunikwa, upendo wa mwisho wa Mungu umedhihirishwa, kumtuma Mwanawe Yesu Kristo umeoneshwa kwa njia zake zote za utukufu katika Agano Jipya."
"Ohun keji adura elese ni wipe ohun ti Oluwa ti se fun wa, lati rawa pada lowo ese ayeraye.","Hatua ya pili ya Ombi la mwenye dhambi ni kufahamu vile ambavyo Mungu amefanya kwa ajili ya kutibu hali ya upotevu wetu dhambini.Mungu alichukua mwili nakufanyika kuwa mwanadamu katika utu wa Yesu Kristo (Yohana 1:1,14)."
"Ìjọba kò gbọdọ̀ tako ọ̀rọ̀ Ọlọ́run, torí ìbáwí nípa nínà wà fún èrè àwọn ọmọ, gẹ̀gẹ̀ bíi ìlànà Bíbélì.","Serikali kamwe isiwai kuhitilafiana na Neno la Mungu, na adhabu ya fimbo, na kunena Kibibilia ni kwa manufaa ya mtoto."
Ẹ̀rí àjíǹde Jésù míìrán ni iye òṣùnwọ̀n ńlá tí àwọn àpọ́stélì fún àjíǹde Jésù.,Tibitsho linguine ni ule izito mitume walitunikia ufufuo wa Yesu.
Ṣé Jésù lọ sí ọ̀run-àpáàdì?,English
"Ṣùgbọ́n, àwọn onígbàgbọ́ ti bọ́ lọ́wọ́ ìparun ẹ̀ṣẹ̀ ayérayé-ọ̀run àpáàdì àti ikú ẹ̀mí-ṣùgbọ́n nísisìnyí a ní agbára pẹ̀lú láti d'ojúkọ dídá ẹ̀ṣẹ̀.",Hata hivyo Wakristo wamekwisha vukishwa kutoka kwa ile hukumu ya milele ya dhambi-jahannamu na kufa kiroho-lakini hata sasa tuko na uwezo wa kuzuia kutenda dhambi.
Do you wish to be enslaved by them all over again?,Ṣé ẹ̀yin tún fẹ́ padà wá sìnrú?
"Bí ó tilẹ̀ jẹ́ wípé ohun ìtìjú ni láti lóyún nípa ìfipábánilòpọ̀ tàbí ìbálòpọ̀ láàrin mọ̀lẹ́bí , ṣé pípa ọmọ wá ni ìdáhùn ni?","Kwa pingamizi la kwanza ambalo lainuka kinyume na kitendo cha Mkristo kuavya mimba ni “Itakuaje kwa kesi ya ubakaji/ kujamiana kwa maharimu?” vile itakavyo kuwa vipaya sana kuwa mja mzito kwa mjibu wa ubakaji/kujamiana kwa maharimu, ndivyo uuwaji wa mtoto jibu litakuwa."
Jesu ko ni yiyan-Ohun si ni yiyan.,"Yesu si chaguo tu, Yeye ndiye chaguo!"
Ní àkókò Oúnjẹ Alẹ́ Olúwa—àjọyọ̀ ìrékọjá—Jésù bu àkàrà Ó sì dúpẹ́ fún Ọlọ̀run.,"Wakati ule wa sherehe ya pasaka ya mwisho, Yesu akatwaa kipande cha mkate na akashukuru Mungu."
"To ba jebe, jowo te “Mo ti gba Kristi ni oni” ni abe.",Het jy ‘n besluit vír Jesus Christus geneem as gevolg van wat jy hier gelees het?
"Ore, gbogbo iya yi ni Jesu Kristi je ki gbogbo ese re le je idariji!","Rafiki yangu, haya yote Yesu aliyavumilia ili dhambi zako zote zipate kusamehewa!"
"Jesu wipe a fun won ni ofin yi nitori okan lile awon enia, ki se ohun ti Olorun fe (Matteu 19:8).",Yesu akasema sheria hizi zilitolewa kwa sababu ya ugumu wa mioyo ya wanadamu lakini hayakuwa mapenzi ya Mungu (Mathayo 19:8).
"Ṣùgbọ́n Kristi gba ìjìyà náà jẹ fún wa—Òun fi ara rẹ̀ rọ́pò, tí Òun si gba ìyà tí ó tọ́ sí wa jẹ.",Lakini Krisot aliichukua adhabu yeye mwenyewe badala yetu.
Kò sí idán tàbí àyẹ̀wò kan gbòógì tí ó lè sọ ohun tí ẹ̀bùn ẹ̀mí wa jẹ́ ní pàtó.,Hakuna muujiza wa kiuganga ama jaribio sahii ambalo laweza eleza kamili karama yetu ya Roho Mtakatifu.
"Àwọn ẹ̀ṣẹ̀ ""aṣekúpani"" méje ni ìgbéraga, owú, wọ̀bìa, ìfẹ́kùfẹ́, ìbínú, ojúkòkòrò, àti ọ̀lẹ.","Kulingana na Papa Gregory mkuu katika karne ya 6, dhambi saba chukizo kwa Mungu ni hizi zifuatazo: kiburi, husuda, ulafi, tamaa, hasira, uroho, na uzembe."
"Lẹ́yìn Ogun Gbogbo Àgbáyé Kejì, nígbàtí Àjọ Àpapọ̀ Orílẹ̀-èdè l'ágbàyé fi lára ilẹ̀ Isrẹli fún àwọn Júù ní àkókò yẹn àwọn Árábù (àwọn ti Palẹstina) ni o ńgbé ní ilẹ̀ náà.","Baada ya vita vya II vya dunia, wakati nchi za Umoja wa Mataifa zilitoa sehemu ya ardhi ya Waisraeli na kuwapa Wayahudi, ardhi ilikuwa wakati huo ilikuwa imechukuliwa na Waarabu (Wapalestina)."
"Ati lati ẹnu rẹ̀ ni idà mímú ti njáde lọ, ki o le máa fi iṣá awọn orilẹ-èdè: on o si máa fi ọ̀pá irin' ṣe akoso wọn: O si ntẹ ìfúntí irunu ati ibinu Ọlọ́run Olódùmarè.","Na majeshi yaliyo mbinguni wakamfuata, wamepanda farasi weupe na kuvikwa kitani nzuri, nyeupe, safi."
"Ọmọ Ọlọ́run, ní ọ̀nà míìrán, kò fẹ́ láti d'ẹ́ṣẹ̀ mọ́ sùgbọ́n ó fẹ́ mọ̀, fẹ́, àti fi ògo fún Bàbá rẹ̀.","Je, umefanya uamuzi kwa Kristo kwa kile ulicho soma hapa?"
Kí á ma ri!,Hasha!
"A gba ìgbàlà nípa ìgbàgbọ́ (Efesu 2:8), nípa gbígba Jésù gẹ́gẹ́ bíi Olùgbàlà (Johannu 1:12), àti nípa gbígbẹ́kẹ̀lé Jésù nìkan (Johannu 14:6; Iṣe àwọn Apọsteli 4:12), kìí ṣe nípa àdúrà gbígbà.","Yohana 3:16, “Kwa maana jinsi hii Mungu aliupenda ulimwengu, hata akamtoa Mwanawe pekee, ili kila mtu amwaminiye asipotee, bali awe na uzima wa milele.” Wokovu unapatika kwa imani (Waefeso 2:8), kwa kumpokea Yesu Kristo kama mwokozi (Yohana 1:12), na kwa kumwamini yeye pekee (Yohana 14:6; Matendo 2:8), sio kwa kukariri ombi."
"1 Johannu 2:2 so wipe, etutu  fun ese wa ki si ise fun tiwa nikan, sugbon fun ti gbogbo araiye pelu.","1 Yohana 2:2 yasema, “Naye ndiye kipatanisho kwa dhambi zetu; wala si kwa dhambi zetu tu, bali na kwa dhambi za ulimwengu wote” (TMP)."
"5) ""Bọ̀wọ̀ fún Baba òn ìyá rẹ, kí ọjọ́ rẹ lè pẹ́ ní ilẹ̀ tí OLÚWA Ọlọ́run rẹ fi fún ọ.""",5) “Waheshimu baba yako na mama yako; siku zako zipate kuwa nyingi katika nchi uewayo na BWANA Mungu wako.” Amri hii kila mara inaamrisha kuwafanyia wazazi vyema kila wakati kwa heshima na nidhamu.
"ìdáhùn yóò fẹ̀ẹ́ jẹ́ ""bẹ́ẹ̀ni.""","Ikiwa mtu ameulizwa, “Je baridi huwepo?”  pengine jibu litakuwa “ndio” ingawa hii huenda isiwe kweli."
Àwọn tí ó gba ìrúbọ Jésù gẹ́gẹ́ bí ìsan gbèsè ẹ̀sẹ̀ wọn àti àwọn tí ó gbàgbọ́ nínú àjíǹde Rẹ̀ ńlọ sí ọ̀run.,"Die wat in Christus glo, wat Sy offer as betaling vir hulle sonde aanvaar het, en wat Hom in gehoorsaamheid volg, sal die ewigheid in die hemel deurbring."
Àwọn ènìyàn ní ẹ̀mí ṣùgbọ́n wọn kìí ṣe àwọn ẹ̀mí.,"Wanadamu wako na roho, lakini sisi si roho."
"L'ọ́nà tí ó gbòòrò, púpọ̀ nínú àwọn ohun tí àwọn ènìyàn ńwá lórí ayélujáre ló ní íṣe pẹ̀lú wíwo àwòrán ènìyàn ní ìhòhò.","Kufika sasa, jambo ambalo limefanyiwa utafiti kwa maneno katika mitandao linahusiana na ponografia."
"Kò sí ẹlòmíràn, kìí ṣe ìwọ fúnrarẹ, tí o lè gba ẹ̀bùn ìgbàlà tí Ọlọ́run fún ni kúrò ní ọwọ́ rẹ.","Hakuna mtu yeyote, hata mmoja, hata wewe mwenyewe anayeweza kuchukua kipawa cha wokovu cha Mungu kilicho ndani ya Yesu."
"Ní òkè ìpaláradà, wọ́n dá Mose àti Elija mọ̀ (Matteu 17:3-4).","Katika ugeuzo wa sura wa Yesu, Musa na Eliya walitambulika (Mathayo 17:3-4)."
Ìgbéyàwó láàrín okùnrin kan àti obìnrin kan jẹ́ àwòrán ìbáṣepọ̀ láàrin Kristi àti ìjọ.,Ndoa kati ya mwanamume na mwanamke ni picha ya uhusiano kati ya Kristo na Kanisa.
Ẹ̀sìn Kristiẹni ni ọrẹ ìgbàlà Ọlọ́run sí ẹnikẹ́ni tí ó bá gbàgbọ́ àti gbẹ́kẹ̀lé ìrúbọ Jésù lórí igi àgbélèbú.,Christenskap is God se gawe van verlossing aan elkeen wat glo aan en vertrou op die offer wat Jesus aan die kruis gebring het.
"Lẹ́yìn náà, níwájú Pọ́ntù Pílátù, ""Àwọn Júù dá a lóhùn wípé , àwa ní òfin kan, àti gẹ́gẹ́ bi òfin wa Ó yẹ láti kú, nítorítì Ó fi ara Rẹ̀ ṣe Ọmọ Ọlọ́run"" (Johannu 19:7).","Baadaye mbele ya Pilato, “Wayahudi wakamjibu, Sisi tunayo sheria, na kwa sheria hiyo amestahili kufa, kwa sababu alijifanya kuwa Mwana wa Mungu” Yohana 19:7) ni kwa nini makisio yake kuwa Mwana wa Mungu yachukuliwe kuwa kufuru na astahili hukumu ya kifo?"
(ẹsẹ̀ 20),Kutakuwa na umwagikaji wa damu (aya ya 13) na ukatili.
"Ìwé Ifihan 13:5 sọ wípé yóò máa lọ báyìí fún oṣù méjìlélógójì, tíí ṣe ọdún mẹ́ta àti ààbọ̀.","Ufunuo Wa Yohana 13:5 yasema kwamba haya yatendaelea kwa kipindi cha miezi 42, ambayo ni 3½ ."
"Kìí ṣe ìdánwò nìkan, ṣùgbọ́n ""wákàtí"" ìdánwò.","Si majaribio pekee, bali “saa” ya majaribu."
"Ìgbàkúùgbà tí a bá lo ọ̀rọ̀ ""ẹ̀mí"", ó túmọ̀ sí abala ènìyàn tí kò ṣé e gbámú tí ó ""farakínra"" pẹ̀lú Ọlọ́run, tí Òun tìkalára jẹ́ Ẹ̀mí (1 Johannu 4:24).","Popote neno “roho” limetumika, linaashiria sehemu ya ndani ya mwanadamu ambayo “yakutanika” na Mungu, ambaye Yeya mwenyewe ni Roho (Yohana 4:24)."
"Àwọn ohun díẹ̀ tí a le dá wa l'ẹ́jọ́ lé lórí ni bí a ṣe gbọ́ràn sí Àṣẹ Ńlá (Matteu 28:18-20), bí a ṣe sẹ́gun ẹ̀ṣẹ̀ sí (Romu 6:1-4), àti bí a ṣe kó ahọ́n wa ní ìjánu síi (Jakọbu 3:1-9).","Baadhi ya vitu vingine tunaweza hukumiwa ni vile tulivyo tii jukumu kuu la kuihubiri injili (Mathayo 28:18-20), vile tulikuwa washindi kwa dhambi (Warumi 6:1-6), na vile tulizuia ndimi zetu (Yakobo 3:1-9)."
"Kiyesi, awon omo lehin re ti o sunmo sa lo, won beru nigba ti a mu, ti a si kan mo n igi, nitori eyi, ko si ibi awon omo leyin re ti won je oniberu apeja se le ni agbara lati ba awon ologun ja.","Na zaidi, utaona wafuasi wake wa karibu walitawanyika kwa uoga baada ya kukamatwa kwake na kusulubishwa, haingelikuwa rahisi kwa wavuvi waliokuwa wamevunjika moyo na kutishika, kupambana ana kwa ana na askari walio funzwa,na wenye ujuzi."
"Idariji je ifarahan ife, aanu ati ore-ofe.","Msamaha ni ishara ya upendo, huruma na neema."
"Lórí èyí àti àwọn àpèjúwe míìrán nínú Bíbélì, ó mú ọgbọ́n wá láti lérò wípé ní àkókò kan irú àbò omi kan bo ayé mọ́lẹ̀.","Kwa msingi huu na maelezo mengine ya Kibibilia, ni bora kuwa na dhana kuwa kwa wakati mmoja ulimwengu ulikuwa umefunikwa kwa kivuli cha maji."
Iwo ko ni ona tabi ile aye re ko ni idi?,"Je, huoni mbele ya maishani mwako?"
"Ti ara wa b aje ti Olorun, a ni lati bere fun aye ki a to fi “ami” tabi ebu si.","“kwa hivyo mnapokula, mnapokunywa, chochote mfanyacho, kifanyeni kwa utukufu wa Mungu” (wakorintho wa kwanza 10:31)."
"Nípa gbígbé ojú wa kúrò lára àwọn nǹkan ayé yìí, àwa lè ní àṣeyọrí síwájú síi láti darí ìwò wa sí Kristi.","Kwa kuchukua macho mbali na vitu vya dunia, tunaweza zaidi kuyaweka mawazo yetu kwa Kristo."
(b) Paulu bere ibere meji ni Romu 8:33-34 “Tani yio ha ka ohunkohun si orun awon ayanfe Olorun?,(b) Paulo auliza maswali mawili muhimu katika warumi 8:33-34 “ni nani atakayewashtaki waliochaguliwa na Mungu?
Ikú Jésù l'órí igi àgbélèbú ló pèsè fún ìyè wa l'ẹ́kùnrẹ́rẹ́.,Matezo ya Yesu yaliisha wakati alikufa.
"It always protects, always trusts, always hopes, always perseveres.","Òhun máa ńdáàbòbò ní ìgbà gbogbo, a máa gba ohun gbogbo gbọ̀, a máa retí ohun gbogbo, máa farada ohun gbogbo."
"Dípò èyí, ó jẹ́ ààbò láti inú imọ̀ wípé ìfẹ̀ Ọlọ́run dájú fún àwọn tó ní ìgbẹ̀kẹ̀lé nínú Kristi.",Ni usalama wa kujua kwamba upendo wa Mungu emeruhusiwa wale wote wanaomwamini Kristo.
